Year,manufacturing,,,,,,,,,,,,,,,,,,,,
2004,15.82724574,,,,,,,,,,,,,,,,,,,,
2005,15.97301704,,,,,,,,,,,,,,,,,,,,
2006,17.30365333,,,,,,,,,,,,,,,,,,,,
2007,16.86456778,,,,,,,,,,,,,,,,,,,,
2008,17.09867415,,,,,,,,,,,,,,,,,,,,
2009,17.14357767,,,,,,,,,,,,,,,,,,,,
2010,17.02993425,,,,,,,,,,,,,,,,,,,,
2011,16.13933744,,,,,,,,,,,,,,,,,,,,
2012,15.816923,,,,,,,,,,,,,,,,,,,,
2013,15.25302269,,,,,,,,,,,,,,,,,,,,
2014,15.06557011,,,,,,,,,,,,,,,,,,,,
2015,15.58385459,,,,,,,,,,,,,,,,,,,,
2016,15.16223713,,,,,,,,,,,,,,,,,,,,
2017,15.01823875,,,,,,,,,,,,,,,,,,,,
2018,14.88153067,,,,,,,,,,,,,,,,,,,,
2019,13.45580756,,,,,,,,,,,,,,,,,,,,
2020,14.12458736,,,,,,,,,,,,,,,,,,,,
2021,14.47204453,,,,,,,,,,,,,,,,,,,,
2022,13.3482974,,,,,,,,,,,,,,,,,,,,
